total_users_attempted,user_password_fails,cluster
2,0,0
140,3,0
29,0,0
0,2,0
2,24,0
0,849,0
63,0,0
0,1,0
34,33,0
4,0,0
30,4,0
366,39,-1
45,20,0
0,2,0
28,0,0
713,217,-1
29,51,0
40,20,0
27,43,0
207,22,-1
17,978,0
1,2,0
411,10441,-1
4,0,0
5,3,0
1,10,0
3,2,0
0,1,0
5,3,0
3,1,0
340,39,-1
12,6,0
0,2,0
0,777,0
9,0,0
88,1220,-1
8,0,0
11,11,0
35,0,0
1,0,0
1,0,0
1,0,0
0,8,0
2,0,0
1,0,0
0,2,0
1,0,0
4,12,0
1,0,0
1,0,0
0,2,0
5,0,0
1,4,0
18,0,0
52,36,0
1,2,0
8,8,0
1,0,0
2,0,0
2,2,0
1,0,0
1,0,0
569,0,-1
0,2,0
576,1074,-1
68,263,0
277,39,-1
4,2,0
10,5,0
1,0,0
0,1,0
0,2,0
5,3,0
1,0,0
0,2,0
2,0,0
0,1,0
0,8,0
20,0,0
11,4,0
5,6,0
78,24,0
10,0,0
1,0,0
1,6,0
1,0,0
1,0,0
1,0,0
6,1,0
4,6,0
51,11,0
0,2,0
52,11,0
0,8755,-1
0,7506,-1
2,0,0
36,43,0
0,2,0
0,2,0
2,0,0
1,5,0
22,0,0
0,2,0
1,0,0
5,3,0
0,4,0
0,5,0
0,2,0
0,2,0
0,2,0
77,0,0
7,0,0
0,1,0
5,0,0
0,878,0
0,2,0
504,0,-1
0,2,0
0,14519,-1
1,0,0
5,3,0
4,0,0
32,262,0
0,2,0
0,17,0
1,0,0
1,0,0
1,0,0
52,11,0
295,89,-1
0,2,0
2,1,0
0,1,0
0,2,0
1,13,0
2,0,0
0,2,0
13,14,0
0,1655,-1
6,3,0
2,0,0
0,1,0
0,2,0
0,2,0
1,0,0
7,1,0
34,0,0
0,2,0
19,10,0
12,8,0
0,2,0
0,2,0
1,2,0
0,7,0
8,0,0
1,0,0
0,2,0
1,0,0
0,2,0
1,0,0
1,0,0
1,0,0
0,2,0
155,8,0
1,1,0
1,0,0
1,0,0
31,0,0
1,0,0
0,2,0
1,7,0
1,0,0
0,3,0
11,4,0
12,8,0
1,6,0
30,31,0
5,3,0
5,3,0
15,9,0
14,4,0
1,0,0
2,2,0
1,0,0
1,0,0
6,4,0
2,2,0
0,1,0
0,4462,-1
1,0,0
0,1,0
2,0,0
0,2,0
1,0,0
1,0,0
1,0,0
0,1,0
1,0,0
1,0,0
1,0,0
6,3,0
6,5,0
44,25,0
1,0,0
0,2,0
1,0,0
0,64,0
2,4,0
4,1,0
0,2,0
6,2,0
0,1,0
1,0,0
1,0,0
1,0,0
0,2,0
2,0,0
156,286,0
0,2,0
1,0,0
0,2,0
