total_users_attempted,user_password_fails
2,0
140,3
29,0
0,2
2,24
0,849
63,0
0,1
34,33
4,0
30,4
366,39
45,20
0,2
28,0
713,217
29,51
40,20
27,43
207,22
17,978
1,2
411,10441
4,0
5,3
1,10
3,2
0,1
5,3
3,1
340,39
12,6
0,2
0,777
9,0
88,1220
8,0
11,11
35,0
1,0
1,0
1,0
0,8
2,0
1,0
0,2
1,0
4,12
1,0
1,0
0,2
5,0
1,4
18,0
52,36
1,2
8,8
1,0
2,0
2,2
1,0
1,0
569,0
0,2
576,1074
68,263
277,39
4,2
10,5
1,0
0,1
0,2
5,3
1,0
0,2
2,0
0,1
0,8
20,0
11,4
5,6
78,24
10,0
1,0
1,6
1,0
1,0
1,0
6,1
4,6
51,11
0,2
52,11
0,8755
0,7506
2,0
36,43
0,2
0,2
2,0
1,5
22,0
0,2
1,0
5,3
0,4
0,5
0,2
0,2
0,2
77,0
7,0
0,1
5,0
0,878
0,2
504,0
0,2
0,14519
1,0
5,3
4,0
32,262
0,2
0,17
1,0
1,0
1,0
52,11
295,89
0,2
2,1
0,1
0,2
1,13
2,0
0,2
13,14
0,1655
6,3
2,0
0,1
0,2
0,2
1,0
7,1
34,0
0,2
19,10
12,8
0,2
0,2
1,2
0,7
8,0
1,0
0,2
1,0
0,2
1,0
1,0
1,0
0,2
155,8
1,1
1,0
1,0
31,0
1,0
0,2
1,7
1,0
0,3
11,4
12,8
1,6
30,31
5,3
5,3
15,9
14,4
1,0
2,2
1,0
1,0
6,4
2,2
0,1
0,4462
1,0
0,1
2,0
0,2
1,0
1,0
1,0
0,1
1,0
1,0
1,0
6,3
6,5
44,25
1,0
0,2
1,0
0,64
2,4
4,1
0,2
6,2
0,1
1,0
1,0
1,0
0,2
2,0
156,286
0,2
1,0
0,2
247,14
5,2
1,0
1,0
0,12
6,5
9,4
1,0
0,2
2,0
21,4
22,41
25,15
1,0
30,31
1,0
1,0
1,0
1,0
0,2
19,16
14,5
2,4
0,2
0,2
31,21
0,2
0,2
56,6
2,0
1,0
13,4
9,7
16,0
1,1
0,2
0,4
1,0
1,0
1,0
0,4
0,2
4,0
0,2
0,1
1,0
63,16
0,2
1,1
13,8
24,3
0,2
0,2
0,2
0,2
8,2
0,2
0,2
4,0
0,2
5,3
0,2
0,2
1,2
0,2
1,8
1,0
1,0
1,0
1,0
0,2
7,12
194,114
1,4
0,2
2,1
7,3
9,0
0,2065
3,150
28,20
5,0
0,1
0,2
1,0
1,0
1,0
1,0
0,2
2,0
6,8
0,1
12,29
1,2
1,0
3,1
7,2
3,0
0,2
1,0
2,0
0,1
9,3
1,0
4,2
6,3
0,1
0,10
1,0
1,0
2,0
1,0
10,6
0,2
1,0
2,0
0,2
0,1
163,254
30,31
1,0
0,1
0,2
1,0
1,0
1,6
0,2
1,0
6,65
1,0
63,260
0,2
63,4
69,0
59,0
41,0
40,0
18,0
40,0
69,0
67,0
0,4
40,0
40,0
1,0
0,1
1,0
1,0
1,0
0,2
1,0
14,5
23,7
1,0
4,3
0,2
0,2
11,7
1,0
0,8670
9,4
0,2
100,60
14,35
0,2
0,89
0,2
0,2
0,2
85,57
0,1
2,504
1,0
1,0
1,0
80,51
1,0
0,1
0,3880
1,4
7,0
35,10
0,12
0,1
60,36
0,32
1,0
0,50
65,42
1,0
0,48
0,1
72,22
0,2
1,0
0,6
2,0
1,0
0,2
4,0
0,2
0,392
0,2
1,0
0,2
0,2
6,7
0,2
0,2
1,8
1,0
0,2
0,2
0,1
0,2
1,0
0,2
7,2
1,0
0,2
3,0
1,0
158,5
1,0
1,0
1,0
2,0
0,1
40,24
1,0
30,31
1,0
0,4
0,2
1,0
0,2
0,2
1,0
1,1
0,2
1,0
2,4
0,2
2,0
1,0
2,0
46,16
1,0
2,1
0,1
1,0
16,9
2,0
0,2
6,33
0,2
0,2
0,2
1,0
8,2
52,11
0,20
0,2
1,0
0,2
0,2
5,0
8,2
90,111
0,2
2,0
0,2
2,0
0,2
0,2
1,0
0,2
0,2
0,2
0,1
0,1
0,1
2,4
5,3
1,0
311,15
0,2
0,2
14,6
1,0
1,0
0,1
1,0
0,2
1,0
18,7
0,2
1,0
0,7
1,0
4,2
0,2
1,2
1,0
2,1
0,4
1,0
1,0
1,0
1,0
9,4
2,0
1,0
1,0
1,0
0,2
0,2
1,0
1,0
0,2
44,14
2,0
1,0
1,0
1,0
22,0
0,2
0,2
68,18
0,2
0,2
0,2
0,15
0,2
1,0
1,0
1,0
1,2
1,2
1,0
0,2
1,0
5,3
2,1
1,2
1,10
1,0
2,0
1,1
0,2
1,0
1,0
9,8
1,0
1,0
0,6
0,2
4,0
1,0
1,0
1,0
56,10
0,2
1,0
4,0
1,0
1,0
89,64
1,0
1,0
1,0
0,2
0,2
1,0
0,2
1,0
23,4
1,0
0,2
2,0
1,0
0,2
1,0
1,0
1,0
108,3
1,0
1,0
0,2
1,0
0,2
0,2
1,6
1,0
0,2
0,1
3,0
0,2
110,95
0,2
0,1
0,2
1,0
0,2
1,0
1,0
1,0
0,6
0,1
2,0
0,2
0,2
2,0
2,0
2,0
2,0
1,0
2,0
0,2
0,2
0,1
1,0
3,2
0,2
24,30
0,1
1,0
3,2
1,0
0,2
0,2
0,2
0,2
0,338
0,4
0,2
1,2
1,0
0,2
1,0
0,2
2,20
0,2
0,54
35,25
60,45
4,26
7,21
1,0
0,2
0,21
411,10441
1,0
1,0
1,0
0,3413
16,5
1,0
1,0
32,16
4,17
3,2
18,15
0,1
2,1
14,3
1,0
0,226
0,2
1,2
0,134
0,2
0,2
1,0
1,0
1,0
0,2
32,16
0,2
1,0
1,0
0,7
1,0
1,0
1,0
58,115
1,0
1,0
92,5
0,1
0,1820
4,2
8,2
0,1
0,2
0,2
3,1
1,0
1,0
0,2
2,0
2,0
0,2
391,27
1,0
350,21
0,2
0,4
16,6
2,0
0,2
2,0
1,0
1,0
1,0
3,1
0,2
0,2
1,0
0,2
12,4
9,5
259,42
0,2
8,4
0,2
156,286
4,0
0,2
11,4
4,4
0,2
1,0
1,0
1,0
12,32
0,2
1,0
1,0
1,0
0,2
0,14383
1,0
0,2
3,1
0,2
0,8374
0,2
2,0
2,0
1,0
1,0
1,0
1,0
0,6179
3,6
4,0
0,2
0,1
4,0
0,2
0,264
4,5
10,2
5,7
0,2
1,0
109,318
1,0
1,0
1,0
2,0
1,0
7,579
2,0
0,614
0,1
1,1
2,0
1,0
35,10
0,2
432,27
0,2
30,31
0,1
0,2
1,0
1,0
1,0
0,2
1,0
1,0
1,0
0,17340
0,2
1,1
0,2
5,6
6,4
0,2
0,2
1,2
0,4
0,8
0,242
1,1
1,0
1,0
1,0
1,0
0,2
3,1
0,28766
7,1
0,2
4,0
0,2
1,0
5,2
1,0
0,7135
0,1
1,0
0,2
0,2
1,0
1,0
0,2
1,2
19,5
0,2
0,2
1,2
30,31
0,1
0,2
1,0
33,29
3,0
22,29
8,1
8,5
1,2
1,16
0,2
22,29
30,31
30,31
0,2
1,0
1,0
1,0
1,0
1,0
0,302
7,0
134,34
0,2
1,2
0,2
0,2
1,0
2,0
1,0
1,0
0,2
76,68
1,0
1,0
1,0
0,2
0,2
380,459
0,9
0,236
8,5
1,0
0,2
0,2
4,1
1,0
15,10
7,5
2,2
0,2
0,158
0,114
10,6
