total_users_attempted,user_password_fails,rdns_lookup_fails,classification
2,0,0,0
140,3,0,1
29,0,0,1
0,2,0,0
2,24,0,0
0,849,0,-1
63,0,0,1
0,1,0,0
34,33,0,1
4,0,0,0
30,4,0,1
366,39,0,1
45,20,0,1
0,2,0,0
28,0,0,1
713,217,0,1
29,51,0,1
40,20,0,1
27,43,0,1
207,22,0,1
17,978,0,-1
1,2,0,0
411,10441,0,-1
4,0,0,0
5,3,0,0
1,10,0,0
3,2,0,0
0,1,0,0
5,3,0,0
3,1,0,0
340,39,0,1
12,6,0,0
0,2,0,0
0,777,0,-1
9,0,0,0
88,1220,0,-1
8,0,0,0
11,11,0,0
35,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
0,8,0,0
2,0,0,0
1,0,0,0
0,2,0,0
1,0,0,0
4,12,0,0
1,0,0,0
1,0,0,0
0,2,0,0
5,0,0,0
1,4,0,0
18,0,0,1
52,36,0,1
1,2,0,0
8,8,0,0
1,0,0,0
2,0,0,0
2,2,0,0
1,0,0,0
1,0,0,0
569,0,0,1
0,2,0,0
576,1074,0,1
68,263,0,1
277,39,0,1
4,2,6,-1
10,5,0,0
1,0,0,0
0,1,0,0
0,2,0,0
5,3,0,0
1,0,0,0
0,2,0,0
2,0,0,0
0,1,0,0
0,8,0,0
20,0,0,1
11,4,15,-1
5,6,0,0
78,24,0,1
10,0,0,0
1,0,0,0
1,6,0,0
1,0,0,0
1,0,0,0
1,0,0,0
6,1,0,0
4,6,0,0
51,11,0,1
0,2,0,0
52,11,0,1
0,8755,0,2
0,7506,0,2
2,0,0,0
36,43,0,1
0,2,0,0
0,2,0,0
2,0,0,0
1,5,0,0
22,0,0,1
0,2,0,0
1,0,0,0
5,3,0,0
0,4,0,0
0,5,0,0
0,2,0,0
0,2,0,0
0,2,0,0
77,0,0,1
7,0,0,0
0,1,0,0
5,0,0,0
0,878,0,-1
0,2,0,0
504,0,0,1
0,2,0,0
0,14519,0,2
1,0,0,0
5,3,0,0
4,0,0,0
32,262,0,-1
0,2,0,0
0,17,0,0
1,0,1,3
1,0,1,3
1,0,0,0
52,11,0,1
295,89,0,1
0,2,0,0
2,1,0,0
0,1,0,0
0,2,0,0
1,13,0,0
2,0,0,0
0,2,0,0
13,14,0,-1
0,1655,0,2
6,3,0,0
2,0,0,0
0,1,0,0
0,2,0,0
0,2,0,0
1,0,0,0
7,1,0,0
34,0,0,1
0,2,0,0
19,10,0,1
12,8,0,0
0,2,0,0
0,2,0,0
1,2,0,0
0,7,0,0
8,0,0,0
1,0,0,0
0,2,0,0
1,0,0,0
0,2,0,0
1,0,0,0
1,0,0,0
1,0,1,3
0,2,0,0
155,8,0,1
1,1,0,0
1,0,0,0
1,0,0,0
31,0,0,1
1,0,0,0
0,2,0,0
1,7,0,0
1,0,0,0
0,3,0,0
11,4,0,0
12,8,0,0
1,6,0,0
30,31,0,1
5,3,0,0
5,3,0,0
15,9,0,-1
14,4,0,4
1,0,0,0
2,2,0,0
1,0,0,0
1,0,0,0
6,4,0,0
2,2,0,0
0,1,0,0
0,4462,0,2
1,0,0,0
0,1,0,0
2,0,0,0
0,2,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
6,3,0,0
6,5,0,0
44,25,0,1
1,0,0,0
0,2,0,0
1,0,0,0
0,64,0,0
2,4,0,0
4,1,0,0
0,2,0,0
6,2,0,0
0,1,0,0
1,0,0,0
1,0,1,3
1,0,0,0
0,2,0,0
2,0,0,0
156,286,0,1
0,2,0,0
1,0,0,0
0,2,0,0
247,14,0,1
5,2,0,0
1,0,0,0
1,0,0,0
0,12,0,0
6,5,0,0
9,4,0,0
1,0,0,0
0,2,0,0
2,0,0,0
21,4,0,1
22,41,0,1
25,15,0,1
1,0,0,0
30,31,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,2,0,0
19,16,35,-1
14,5,0,4
2,4,0,0
0,2,0,0
0,2,0,0
31,21,0,1
0,2,0,0
0,2,0,0
56,6,0,1
2,0,0,0
1,0,0,0
13,4,0,-1
9,7,0,0
16,0,0,-1
1,1,0,0
0,2,0,0
0,4,0,0
1,0,0,0
1,0,1,3
1,0,0,0
0,4,0,0
0,2,0,0
4,0,0,0
0,2,0,0
0,1,0,0
1,0,0,0
63,16,0,1
0,2,0,0
1,1,0,0
13,8,0,-1
24,3,0,1
0,2,0,0
0,2,0,0
0,2,0,0
0,2,0,0
8,2,0,0
0,2,0,0
0,2,0,0
4,0,0,0
0,2,0,0
5,3,0,0
0,2,0,0
0,2,0,0
1,2,0,0
0,2,0,0
1,8,0,0
1,0,1,3
1,0,0,0
1,0,1,3
1,0,0,0
0,2,0,0
7,12,0,0
194,114,0,1
1,4,0,0
0,2,0,0
2,1,0,0
7,3,0,0
9,0,0,0
0,2065,0,2
3,150,0,0
28,20,0,1
5,0,0,0
0,1,0,0
0,2,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,1,3
0,2,0,0
2,0,0,0
6,8,0,0
0,1,0,0
12,29,0,0
1,2,0,0
1,0,0,0
3,1,0,0
7,2,0,0
3,0,0,0
0,2,0,0
1,0,0,0
2,0,0,0
0,1,0,0
9,3,0,0
1,0,0,0
4,2,0,0
6,3,0,0
0,1,0,0
0,10,0,0
1,0,0,0
1,0,1,3
2,0,0,0
1,0,0,0
10,6,0,0
0,2,0,0
1,0,0,0
2,0,0,0
0,2,0,0
0,1,0,0
163,254,0,1
30,31,0,1
1,0,0,0
0,1,0,0
0,2,0,0
1,0,0,0
1,0,0,0
1,6,0,0
0,2,0,0
1,0,0,0
6,65,0,0
1,0,0,0
63,260,0,1
0,2,0,0
63,4,0,1
69,0,0,1
59,0,0,1
41,0,0,1
40,0,0,1
18,0,0,1
40,0,0,1
69,0,0,1
67,0,67,-1
0,4,0,0
40,0,0,1
40,0,0,1
1,0,0,0
0,1,0,0
1,0,0,0
